3,FFT,float32,1024,1024,1024,2,2,NCCL,1,1497.5007,109.3729,232.0114,123.0029,36.3503,111.3634
3,IFFT,float32,1024,1024,1024,2,2,NCCL,1,607.1846,234.5287,238.2266,236.9588,1.2158,237.5462
0,FFT,float32,1024,1024,1024,2,2,NCCL,1,1437.8295,109.2807,231.1612,123.4572,35.9536,111.0192
0,IFFT,float32,1024,1024,1024,2,2,NCCL,1,609.2601,232.4748,239.0287,236.5399,2.2665,238.7905
1,FFT,float32,1024,1024,1024,2,2,NCCL,1,1437.8437,109.4167,231.5047,122.2738,36.4174,109.6477
1,IFFT,float32,1024,1024,1024,2,2,NCCL,1,609.9821,234.8087,239.0299,237.6063,1.2457,237.3949
2,FFT,float32,1024,1024,1024,2,2,NCCL,1,1461.5595,109.5484,231.9853,123.7500,36.1231,112.6301
2,IFFT,float32,1024,1024,1024,2,2,NCCL,1,605.9085,232.2949,238.8664,236.0727,2.1768,236.2139
1,FFT,float32,1024,1024,1024,1,4,NCCL,1,587.5702,52.8207,212.4581,69.0877,47.7905,53.0933
1,IFFT,float32,1024,1024,1024,1,4,NCCL,1,354.6039,126.6052,127.4680,126.9663,0.2681,127.2369
0,FFT,float32,1024,1024,1024,1,4,NCCL,1,583.0129,52.8645,212.7204,69.1506,47.8569,53.2279
0,IFFT,float32,1024,1024,1024,1,4,NCCL,1,354.5482,126.5942,127.2454,126.9346,0.1990,127.2454
3,FFT,float32,1024,1024,1024,1,4,NCCL,1,591.3339,52.6736,212.9925,69.1417,47.9507,53.2476
3,IFFT,float32,1024,1024,1024,1,4,NCCL,1,353.9983,126.7102,127.2781,126.9696,0.1804,127.2781
2,FFT,float32,1024,1024,1024,1,4,NCCL,1,581.4048,52.8816,212.2617,69.1149,47.7159,53.2732
2,IFFT,float32,1024,1024,1024,1,4,NCCL,1,354.2546,126.7011,127.1631,126.8891,0.1549,126.8439
1,FFT,float32,1024,1024,1024,4,1,NCCL,1,594.9498,52.5681,209.7528,68.5669,47.0623,53.0691
1,IFFT,float32,1024,1024,1024,4,1,NCCL,1,343.2302,126.4211,127.0254,126.6422,0.2067,126.5142
0,FFT,float32,1024,1024,1024,4,1,NCCL,1,594.9815,52.6346,210.4532,68.6320,47.2741,52.7928
0,IFFT,float32,1024,1024,1024,4,1,NCCL,1,342.9630,126.3064,126.9839,126.6243,0.2169,126.7437
3,FFT,float32,1024,1024,1024,4,1,NCCL,1,647.1840,52.5861,210.7298,68.6229,47.3694,53.2966
3,IFFT,float32,1024,1024,1024,4,1,NCCL,1,342.8847,126.4090,126.9713,126.6992,0.1887,126.4090
2,FFT,float32,1024,1024,1024,4,1,NCCL,1,593.3987,52.5260,210.9190,68.6534,47.4226,53.0177
2,IFFT,float32,1024,1024,1024,4,1,NCCL,1,343.0078,126.3346,126.9734,126.7059,0.1981,126.8063
0,FFT,float64,1024,1024,1024,2,2,NCCL,1,861.3349,228.6961,365.3158,243.1938,40.7099,228.6961
0,IFFT,float64,1024,1024,1024,2,2,NCCL,1,578.6896,386.6442,388.5702,387.5530,0.5678,388.5702
1,FFT,float64,1024,1024,1024,2,2,NCCL,1,762.0987,228.8325,364.9179,242.7910,40.7107,228.8325
1,IFFT,float64,1024,1024,1024,2,2,NCCL,1,578.9440,386.9144,388.7124,387.8816,0.6234,388.2524
3,FFT,float64,1024,1024,1024,2,2,NCCL,1,765.2506,229.3474,366.3644,243.5244,40.9483,229.4419
3,IFFT,float64,1024,1024,1024,2,2,NCCL,1,576.3477,386.6668,387.6671,387.2110,0.3422,387.6671
2,FFT,float64,1024,1024,1024,2,2,NCCL,1,765.2787,229.2943,365.8335,243.8161,40.6789,229.2943
2,IFFT,float64,1024,1024,1024,2,2,NCCL,1,575.9350,386.3200,387.9013,386.8999,0.4939,387.9013
0,FFT,float64,1024,1024,1024,1,4,NCCL,1,677.0062,109.8218,296.1363,128.7130,55.8081,110.3302
0,IFFT,float64,1024,1024,1024,1,4,NCCL,1,446.0856,202.8108,203.6604,203.2713,0.2439,202.8108
1,FFT,float64,1024,1024,1024,1,4,NCCL,1,676.7915,109.5179,296.5553,128.5897,55.9889,110.0774
1,IFFT,float64,1024,1024,1024,1,4,NCCL,1,445.9949,202.9645,203.7148,203.4312,0.2219,202.9645
2,FFT,float64,1024,1024,1024,1,4,NCCL,1,669.0085,109.4806,296.2700,128.8580,55.8053,110.4263
2,IFFT,float64,1024,1024,1024,1,4,NCCL,1,446.4049,202.4173,203.6493,203.1877,0.3604,202.8013
3,FFT,float64,1024,1024,1024,1,4,NCCL,1,675.8989,109.5466,296.8708,128.6376,56.0784,109.7232
3,IFFT,float64,1024,1024,1024,1,4,NCCL,1,446.0590,202.8690,203.7856,203.4597,0.2359,203.3779
0,FFT,float64,1024,1024,1024,4,1,NCCL,1,681.1542,109.1107,296.9674,128.3722,56.1991,109.4867
0,IFFT,float64,1024,1024,1024,4,1,NCCL,1,462.2219,203.8316,205.1454,204.5179,0.3469,204.6699
3,FFT,float64,1024,1024,1024,4,1,NCCL,1,682.2676,109.1087,297.5508,128.3582,56.3981,109.5678
3,IFFT,float64,1024,1024,1024,4,1,NCCL,1,462.2554,204.1676,205.0641,204.5882,0.2871,204.4047
2,FFT,float64,1024,1024,1024,4,1,NCCL,1,682.5770,109.1167,296.8368,128.1937,56.2148,109.5588
2,IFFT,float64,1024,1024,1024,4,1,NCCL,1,461.8207,204.2823,205.4457,204.7505,0.3526,204.6416
1,FFT,float64,1024,1024,1024,4,1,NCCL,1,681.5031,109.1385,297.1040,128.4550,56.2172,109.6287
1,IFFT,float64,1024,1024,1024,4,1,NCCL,1,462.1619,203.7425,204.9576,204.4667,0.3240,204.7203
